"113,34,64.51,0.000,0.515","0,0,0.00,0.000,0.000","12,1,333.04,0.000,0.085","26,5,499.68,0.000,0.098","42,11,2000.00,0.000,0.111","55,15,999.83,0.000,0.124","67,19,1000.00,-1.571,0.144","79,22,142.85,0.000,0.222","92,26,470.77,-0.785,0.318","104,29,176.78,-0.785,0.394","113,34,64.51,0.000,0.515"
"-132,106,707.16,-2.356,0.468","0,0,0.00,0.000,0.000","-16,8,1116.12,-2.034,0.105","-31,15,1414.21,-2.356,0.122","-46,26,708.76,-2.356,0.144","-64,38,1413.98,-2.356,0.164","-84,53,706.99,-2.356,0.182","-104,65,995.33,3.142,0.205","-117,80,111.16,-1.571,0.282","-124,92,90.94,-1.571,0.355","-132,106,707.16,-2.356,0.468"
"186,146,124.95,-1.571,0.470","0,0,0.00,0.000,0.000","11,13,1414.21,-0.785,0.148","25,32,2236.07,-1.107,0.170","56,53,3586.15,-0.588,0.185","99,75,4471.39,-0.464,0.200","131,93,2233.04,-0.464,0.215","154,108,282.81,-0.785,0.240","164,121,235.75,-0.785,0.336","178,133,708.85,-0.785,0.369","186,146,124.95,-1.571,0.470"
"-32,70,66.65,-1.571,0.263","0,0,0.00,0.000,0.000","-4,8,1999.19,-1.571,0.105","-8,15,2235.70,-2.034,0.115","-13,24,998.29,-1.571,0.130","-15,29,1000.00,-1.571,0.139","-20,37,995.80,-1.571,0.150","-25,47,1001.27,-1.571,0.167","-30,53,1118.12,-2.034,0.180","-31,60,200.00,-1.571,0.204","-32,70,66.65,-1.571,0.263"
"-192,164,157.12,-0.785,0.510","0,0,0.00,0.000,0.000","-12,23,1000.00,-1.571,0.096","-41,56,1414.21,-2.356,0.122","-91,80,2999.50,3.142,0.143","-161,102,3162.28,-2.820,0.163","-214,119,2236.07,-2.678,0.184","-234,137,500.04,-1.571,0.260","-239,153,500.22,0.000,0.365","-215,158,1000.00,-1.571,0.415","-192,164,157.12,-0.785,0.510"
"-42,-112,18.64,1.571,0.535","0,0,0.00,0.000,0.000","-2,-12,500.27,1.571,0.125","-5,-28,999.60,1.571,0.142","-12,-40,1115.99,2.034,0.160","-18,-54,705.22,2.356,0.183","-22,-67,500.33,1.571,0.208","-28,-78,1413.98,2.356,0.232","-31,-87,166.68,1.571,0.270","-35,-98,166.69,3.142,0.352","-42,-112,18.64,1.571,0.535"
"-167,89,49.95,0.000,0.599","0,0,0.00,0.000,0.000","-21,9,499.08,3.142,0.125","-49,23,1413.98,-2.356,0.153","-77,38,2236.07,-2.678,0.175","-111,50,1413.64,-2.356,0.197","-143,57,1499.57,3.142,0.218","-172,63,1000.00,3.142,0.243","-189,74,1414.21,-2.356,0.316","-193,86,1000.00,0.000,0.459","-167,89,49.95,0.000,0.599"
"-77,-189,7.58,3.142,0.432","0,0,0.00,0.000,0.000","-3,-17,1414.21,2.356,0.102","-12,-43,2000.00,1.571,0.120","-20,-69,3150.49,1.893,0.134","-31,-92,2236.07,2.678,0.148","-46,-117,2828.43,2.356,0.164","-57,-138,1414.21,2.356,0.180","-64,-159,1997.76,1.571,0.204","-73,-175,1413.98,2.356,0.237","-77,-189,7.58,3.142,0.432"
"-91,187,71.43,-1.571,0.339","0,0,0.00,0.000,0.000","-11,15,500.81,-1.571,0.103","-25,35,1116.12,-2.034,0.118","-42,69,3162.28,-1.893,0.134","-56,92,1414.21,-2.356,0.148","-67,112,1000.00,-1.571,0.164","-76,133,1000.00,-1.571,0.183","-84,153,499.08,-1.571,0.208","-89,171,400.09,-1.571,0.242","-91,187,71.43,-1.571,0.339"
"-90,-72,76.90,3.142,0.430","0,0,0.00,0.000,0.000","-6,-7,471.40,2.356,0.104","-16,-16,1000.00,1.571,0.120","-26,-26,2000.00,1.571,0.133","-36,-34,705.81,2.356,0.146","-47,-38,250.27,3.142,0.177","-57,-49,332.93,3.142,0.220","-66,-58,157.14,2.356,0.322","-76,-67,1409.28,2.356,0.364","-90,-72,76.90,3.142,0.430"
